Classification_Description,Category
#N/A,Services
ADULT BUSINESS,Entertainment
ALARM AGENT,Services
ARBORIST/TREE SERVICE,Services
AUTOMOTIVE REPAIR & SVC,Services
BUSKER OR SIDEWALK PERFORMER,Entertainment
CHARITABLE SOLICITATIONS,Charitable
DONATION BOXES AND CONTAINERS,Charitable
FOOD VENDING MACHINES,Food & Dining
FOOD VENDING VEHICLES,Food & Dining
HOTEL/MOTEL,Lodging
ITINERANT RESTAURANT,Food & Dining
LAWN PARK 10 OR MORE SPACES,Parking
LAWN PARK UNDER 10 SPACES,Parking
MASSAGE ESTABLISHMENT,Entertainment
MASSAGE THERAPY,Entertainment
MOBILE FOOD TRUCK,Food & Dining
OPEN AIR VENDORS PRIVATE,Retail
OPEN AIR VENDORS PUBLIC,Retail
OUTDOOR MOVIE THEATRE,Entertainment
PEDDLER & CANVASSER,Retail
PET SHOPS,Retail
POOL HALLS,Entertainment
PRECIOUS METAL DEALERS,Retail
PUBLIC PARKING FACILITY,Parking
RESTAURANTS A-M,Food & Dining
RESTAURANTS N-Z,Food & Dining
RUBBISH & GARBAGE REMOVAL,Services
SCRAP METAL /JUNK DEALERS,Services
SECOND HAND DEALERS,Retail
SELF SERVICE LAUNDRY,Services
TATTOO AND BODY PIERCING ESTABLISHMENTS,Services
TATTOO AND PIERCING ARTIST,Services
TAXI COMPANY,Transportation
TAXI DRIVER,Transportation
TAXI VEHICLE,Transportation
TRANSIENT MERCHANT,Retail
TRANSIENT MERCHANT XMAS TREE,Retail
VEHICLE REMOVAL,Services
